Distrito,Desempleo_Pct,Pobreza_Pct,Iluminacion_Publica,Presencia_Policial,Camaras_Vigilancia,Pandillaje_Indice,Trafico_Drogas_Indice,Violencia_Familiar_Pct,Informalidad_Laboral_Pct,Abandono_Escolar_Pct,Percepcion_Inseguridad,Hora_Evento,Tipo_Evento
Villa María del Triunfo,7.63,8.53,89.81,4.34,79,0.16,4.58,2.71,59.92,10.63,8.56,4,Asalto
Independencia,6.52,18.44,48.05,0.83,49,2.99,6.27,25.0,55.83,14.64,3.8,11,Hurto
Comas,9.39,44.3,79.92,4.8,44,0.8,4.03,12.47,38.93,6.64,4.24,10,Hurto
Villa El Salvador,4.21,39.9,78.0,4.51,60,8.42,6.48,13.31,21.13,12.24,1.11,20,Violencia Familiar
San Martín de Porres,8.62,43.19,59.98,3.04,29,1.49,5.8,20.53,70.48,5.85,1.8,22,Violencia Familiar
Villa María del Triunfo,19.08,13.71,55.4,0.95,92,3.06,4.7,2.55,71.35,8.94,5.73,19,Asalto
Villa María del Triunfo,13.79,28.25,87.11,1.82,82,7.79,2.49,20.99,83.15,8.33,8.01,21,Robo
Villa María del Triunfo,5.21,43.69,88.68,0.99,18,5.04,1.62,12.34,26.91,11.87,1.86,18,Pandillaje
Callao,9.48,38.68,94.41,0.82,68,2.09,7.65,28.54,70.18,17.75,6.75,17,Robo
Callao,7.68,23.95,86.52,4.11,32,2.77,4.76,15.18,47.19,16.59,5.06,16,Violencia Familiar
Ate,17.73,40.62,56.2,0.66,7,7.38,7.06,29.62,56.54,16.7,6.19,23,Violencia Familiar
Villa María del Triunfo,17.61,42.63,52.1,1.89,72,4.79,5.99,4.21,40.08,7.12,6.07,19,Hurto
Villa El Salvador,6.66,33.88,88.64,2.35,40,5.68,9.77,9.64,31.09,1.99,3.17,20,Robo
Comas,7.16,39.21,74.98,0.81,52,4.55,2.91,8.54,71.52,1.15,5.85,19,Hurto
Los Olivos,13.26,31.76,79.3,2.51,83,1.07,8.62,6.46,53.87,5.15,6.43,5,Hurto
Ate,8.73,35.13,57.66,3.93,20,1.67,2.23,5.59,50.83,17.87,3.27,16,Microcomercializacion Drogas
Villa María del Triunfo,15.78,13.56,82.99,1.52,8,7.22,6.15,6.22,78.52,18.78,2.23,15,Hurto
Independencia,3.78,13.08,87.52,3.84,2,7.97,4.57,11.19,31.08,4.18,6.96,9,Homicidio
Los Olivos,3.96,26.0,45.0,4.27,60,0.85,9.04,27.4,68.88,18.6,8.3,17,Hurto
Cercado de Lima,8.2,13.71,59.63,3.33,97,9.64,9.31,17.96,71.39,19.07,1.75,23,Robo
San Juan de Lurigancho,6.17,40.79,54.91,0.91,45,3.22,0.19,5.1,76.83,16.76,8.22,4,Asalto
San Juan de Lurigancho,14.41,31.79,80.04,2.81,0,1.51,6.21,13.76,62.93,15.47,5.91,11,Hurto
San Martín de Porres,8.08,19.37,83.06,3.25,28,8.21,3.43,7.42,33.89,14.92,6.53,22,Asalto
Cercado de Lima,5.05,30.11,40.01,0.58,0,7.99,0.36,29.55,51.84,7.83,3.63,16,Robo
Villa María del Triunfo,19.24,21.55,97.15,4.21,42,3.82,3.75,8.84,50.15,9.99,7.7,23,Robo
Independencia,18.24,9.35,68.37,3.88,44,5.92,2.98,3.55,20.18,2.92,8.13,14,Hurto
Villa María del Triunfo,11.72,10.87,73.06,1.15,83,8.55,9.99,10.91,30.42,16.07,6.4,22,Homicidio
Los Olivos,9.35,21.7,58.04,3.45,66,6.88,9.6,14.84,56.61,5.56,9.03,3,Robo
Independencia,7.73,42.73,93.04,0.88,47,4.92,8.02,20.77,28.87,7.58,4.05,5,Microcomercializacion Drogas
San Juan de Lurigancho,6.7,18.37,97.59,2.84,90,5.21,7.79,11.52,32.51,12.11,6.99,13,Robo
Callao,9.31,8.01,97.5,2.46,64,9.07,6.25,10.48,40.73,10.53,8.8,14,Violencia Familiar
Comas,4.22,15.73,44.81,3.88,61,7.84,6.6,16.49,31.72,19.59,4.38,17,Violencia Familiar
San Juan de Lurigancho,17.86,40.49,40.66,4.49,86,8.61,1.47,27.44,39.84,18.09,8.12,7,Homicidio
Callao,12.76,16.7,64.14,3.94,89,5.0,3.88,19.17,23.92,10.62,8.84,21,Pandillaje
Villa El Salvador,18.97,22.14,61.5,2.48,83,1.25,3.25,17.82,81.7,16.03,5.98,21,Hurto
Villa El Salvador,3.96,11.8,57.12,1.77,46,7.97,6.82,7.78,27.73,16.76,7.26,12,Homicidio
Ate,3.53,9.75,58.71,2.5,6,7.07,9.73,27.01,43.97,19.97,1.03,7,Robo
Villa El Salvador,6.39,7.43,54.23,2.42,2,9.71,8.83,28.48,27.95,17.49,2.16,20,Homicidio
Villa María del Triunfo,5.73,30.31,43.15,1.82,30,1.84,5.11,4.61,84.46,7.54,9.17,19,Microcomercializacion Drogas
Callao,10.89,5.99,94.52,2.83,13,1.1,3.84,28.33,68.5,17.48,4.3,8,Homicidio
Comas,16.42,37.48,51.64,1.56,21,9.81,9.66,6.51,32.69,11.75,6.74,3,Hurto
Villa El Salvador,8.46,35.54,97.61,1.74,19,9.77,5.82,26.27,86.73,13.83,5.94,21,Asalto
Comas,6.41,12.44,55.29,1.87,0,4.76,2.99,11.05,38.23,15.3,4.29,17,Pandillaje
San Juan de Lurigancho,12.3,26.73,98.55,2.15,4,9.12,1.75,25.36,30.52,13.52,2.35,7,Homicidio
Villa María del Triunfo,5.39,19.85,82.3,2.23,35,5.77,4.18,6.64,30.78,14.44,9.77,20,Violencia Familiar
Villa María del Triunfo,12.53,41.59,80.47,2.32,87,9.44,1.01,9.61,88.54,6.14,7.23,7,Homicidio
